Hour,Shift_ID,Scheduled_Parts,Traffic_Index,Current_Buffer_Pct,Quality_Fail_Flag,Machine_Fault_Flag,Actual_Arrival_Lag_Mins,Baseline_Downtime_Cost
1,1,50,1.94,83,0,0,2,0.0
2,1,50,2.37,87,0,0,5,0.0
3,1,50,2.51,89,0,1,81,5000.0
4,1,50,2.5,92,0,1,71,5000.0
5,1,50,2.17,89,0,1,100,5000.0
6,1,50,1.94,86,0,0,7,0.0
7,1,50,1.7,88,0,0,7,0.0
8,2,50,2.99,90,0,0,7,0.0
9,2,50,3.99,93,0,0,0,0.0
10,2,50,5.0,95,0,0,4,0.0
11,2,50,5.0,97,0,0,5,0.0
12,2,50,5.0,94,0,0,8,0.0
13,2,50,5.0,96,0,0,8,0.0
14,2,50,5.0,96,0,0,4,0.0
15,2,50,5.0,93,0,0,67,8040.0
16,3,50,3.94,91,0,0,8,0.0
17,3,50,3.28,95,0,0,5,0.0
18,3,50,2.99,98,0,0,6,0.0
19,3,50,2.72,100,0,0,3,0.0
20,3,50,2.42,100,0,0,2,0.0
21,3,50,2.45,99,0,0,24,2880.0
22,3,50,2.12,99,0,0,46,5520.0
23,3,50,2.0,100,0,0,6,0.0
24,1,50,1.98,100,0,0,6,0.0
25,1,50,2.03,100,0,0,6,0.0
26,1,50,2.31,99,0,0,7,0.0
27,1,50,2.07,99,0,0,6,0.0
28,1,50,2.13,98,0,0,6,0.0
29,1,50,2.24,98,0,0,0,0.0
30,1,50,1.9,97,0,0,8,0.0
31,1,50,2.09,100,0,0,7,0.0
32,2,50,2.64,99,0,0,6,0.0
33,2,50,3.08,97,0,0,6,0.0
34,2,50,4.43,100,0,0,0,0.0
35,2,50,5.0,100,0,0,1,0.0
36,2,50,5.0,99,0,0,5,0.0
37,2,50,5.0,100,0,0,5,0.0
38,2,50,5.0,100,0,0,7,0.0
39,2,50,5.0,99,0,0,6,0.0
40,3,50,4.13,100,0,0,2,0.0
41,3,50,3.28,100,0,0,0,0.0
42,3,50,2.97,100,0,0,6,0.0
43,3,50,2.4,100,0,0,0,0.0
44,3,50,2.66,100,0,0,50,6000.0
45,3,50,2.36,97,0,0,71,8520.0
46,3,50,2.45,96,0,0,8,0.0
47,3,50,2.25,95,0,0,3,0.0
48,1,50,2.26,98,0,0,6,0.0
49,1,50,2.29,98,0,0,8,0.0
50,1,50,2.04,100,0,0,5,0.0
51,1,50,2.46,97,0,0,5,0.0
52,1,50,2.6,8,1,0,1,0.0
53,1,50,2.83,94,0,0,7,0.0
54,1,50,2.95,95,0,0,61,7320.0
55,1,50,2.81,95,0,0,4,0.0
56,2,50,4.14,92,0,0,4,0.0
57,2,50,4.57,96,0,0,3,0.0
58,2,50,5.0,99,0,0,0,0.0
59,2,50,5.0,98,0,0,8,0.0
60,2,50,5.0,100,0,0,3,0.0
61,2,50,5.0,100,0,0,5,0.0
62,2,50,5.0,97,0,0,3,0.0
63,2,50,5.0,98,0,0,69,8280.0
64,3,50,4.07,95,0,0,22,2640.0
65,3,50,3.36,95,0,0,37,4440.0
66,3,50,3.06,93,0,0,41,4920.0
67,3,50,2.55,91,0,0,36,4320.0
68,3,50,2.68,89,0,1,48,5000.0
69,3,50,2.23,91,0,1,93,5000.0
70,3,50,2.6,93,0,1,90,5000.0
71,3,50,2.7,97,0,1,85,5000.0
72,1,50,2.34,94,0,1,72,5000.0
73,1,50,1.94,96,0,0,8,0.0
