worker_id,name,shift_id,shift_start,shift_end,primary_role,secondary_role,experience_years,availability,overtime_eligible,last_training_date
W001,Worker_001,SHIFT_1,06:00,14:00,CHASSIS_TECHNICIAN,LOGISTICS_COORDINATOR,6.3,1,True,2026-03-24
W002,Worker_002,SHIFT_1,06:00,14:00,LOGISTICS_COORDINATOR,CHASSIS_TECHNICIAN,7.5,0,True,2026-02-23
W003,Worker_003,SHIFT_1,06:00,14:00,BODY_TECHNICIAN,ENGINE_TECHNICIAN,2.8,1,True,2025-12-12
W004,Worker_004,SHIFT_1,06:00,14:00,BODY_TECHNICIAN,LOGISTICS_COORDINATOR,6.0,1,True,2025-10-21
W005,Worker_005,SHIFT_1,06:00,14:00,QUALITY_INSPECTOR,ENGINE_TECHNICIAN,19.5,1,False,2026-05-04
W006,Worker_006,SHIFT_1,06:00,14:00,QUALITY_INSPECTOR,BODY_TECHNICIAN,16.8,1,False,2025-08-22
W007,Worker_007,SHIFT_1,06:00,14:00,TRANSMISSION_TECHNICIAN,ENGINE_TECHNICIAN,1.9,1,True,2026-01-16
W008,Worker_008,SHIFT_1,06:00,14:00,ENGINE_TECHNICIAN,BODY_TECHNICIAN,17.5,0,False,2026-01-22
W009,Worker_009,SHIFT_1,06:00,14:00,CHASSIS_TECHNICIAN,BODY_TECHNICIAN,4.1,1,False,2026-02-26
W010,Worker_010,SHIFT_1,06:00,14:00,LOGISTICS_COORDINATOR,BODY_TECHNICIAN,14.3,1,True,2025-08-06
W011,Worker_011,SHIFT_1,06:00,14:00,LOGISTICS_COORDINATOR,TRANSMISSION_TECHNICIAN,11.1,1,True,2026-03-22
W012,Worker_012,SHIFT_1,06:00,14:00,CHASSIS_TECHNICIAN,QUALITY_INSPECTOR,6.1,0,True,2025-06-28
W013,Worker_013,SHIFT_1,06:00,14:00,BODY_TECHNICIAN,ENGINE_TECHNICIAN,5.4,1,True,2026-01-03
W014,Worker_014,SHIFT_1,06:00,14:00,CHASSIS_TECHNICIAN,BODY_TECHNICIAN,2.3,1,False,2026-02-25
W015,Worker_015,SHIFT_1,06:00,14:00,LOGISTICS_COORDINATOR,CHASSIS_TECHNICIAN,8.5,1,False,2026-04-01
W016,Worker_016,SHIFT_1,06:00,14:00,BODY_TECHNICIAN,TRANSMISSION_TECHNICIAN,5.7,1,False,2025-08-18
W017,Worker_017,SHIFT_1,06:00,14:00,CHASSIS_TECHNICIAN,LOGISTICS_COORDINATOR,8.6,1,True,2026-04-04
W018,Worker_018,SHIFT_1,06:00,14:00,QUALITY_INSPECTOR,CHASSIS_TECHNICIAN,2.7,1,True,2026-04-18
W019,Worker_019,SHIFT_1,06:00,14:00,TRANSMISSION_TECHNICIAN,BODY_TECHNICIAN,16.0,1,False,2025-08-12
W020,Worker_020,SHIFT_1,06:00,14:00,ENGINE_TECHNICIAN,QUALITY_INSPECTOR,8.3,1,False,2025-09-16
W021,Worker_021,SHIFT_2,14:00,22:00,BODY_TECHNICIAN,LOGISTICS_COORDINATOR,17.4,1,True,2025-06-30
W022,Worker_022,SHIFT_2,14:00,22:00,LOGISTICS_COORDINATOR,ENGINE_TECHNICIAN,14.0,1,False,2025-07-20
W023,Worker_023,SHIFT_2,14:00,22:00,BODY_TECHNICIAN,ENGINE_TECHNICIAN,6.6,1,True,2025-10-24
W024,Worker_024,SHIFT_2,14:00,22:00,ENGINE_TECHNICIAN,CHASSIS_TECHNICIAN,19.5,1,True,2025-09-27
W025,Worker_025,SHIFT_2,14:00,22:00,ENGINE_TECHNICIAN,CHASSIS_TECHNICIAN,17.0,1,True,2026-03-27
W026,Worker_026,SHIFT_2,14:00,22:00,BODY_TECHNICIAN,TRANSMISSION_TECHNICIAN,11.2,1,True,2025-08-11
W027,Worker_027,SHIFT_2,14:00,22:00,BODY_TECHNICIAN,QUALITY_INSPECTOR,1.4,1,False,2026-01-07
W028,Worker_028,SHIFT_2,14:00,22:00,TRANSMISSION_TECHNICIAN,ENGINE_TECHNICIAN,5.6,1,True,2026-05-01
W029,Worker_029,SHIFT_2,14:00,22:00,LOGISTICS_COORDINATOR,CHASSIS_TECHNICIAN,16.5,1,True,2026-04-09
W030,Worker_030,SHIFT_2,14:00,22:00,LOGISTICS_COORDINATOR,CHASSIS_TECHNICIAN,19.0,1,True,2026-01-29
W031,Worker_031,SHIFT_2,14:00,22:00,QUALITY_INSPECTOR,LOGISTICS_COORDINATOR,9.0,1,True,2025-09-10
W032,Worker_032,SHIFT_2,14:00,22:00,LOGISTICS_COORDINATOR,TRANSMISSION_TECHNICIAN,14.5,1,False,2025-07-05
W033,Worker_033,SHIFT_2,14:00,22:00,LOGISTICS_COORDINATOR,BODY_TECHNICIAN,9.3,1,False,2026-04-13
W034,Worker_034,SHIFT_2,14:00,22:00,TRANSMISSION_TECHNICIAN,BODY_TECHNICIAN,2.2,0,True,2025-08-16
W035,Worker_035,SHIFT_2,14:00,22:00,QUALITY_INSPECTOR,TRANSMISSION_TECHNICIAN,12.2,0,True,2026-05-08
W036,Worker_036,SHIFT_2,14:00,22:00,LOGISTICS_COORDINATOR,ENGINE_TECHNICIAN,5.3,1,True,2025-12-26
W037,Worker_037,SHIFT_2,14:00,22:00,ENGINE_TECHNICIAN,LOGISTICS_COORDINATOR,5.5,1,False,2026-02-24
W038,Worker_038,SHIFT_2,14:00,22:00,QUALITY_INSPECTOR,TRANSMISSION_TECHNICIAN,14.7,1,False,2026-02-09
W039,Worker_039,SHIFT_2,14:00,22:00,CHASSIS_TECHNICIAN,QUALITY_INSPECTOR,4.6,1,True,2025-07-11
W040,Worker_040,SHIFT_2,14:00,22:00,CHASSIS_TECHNICIAN,BODY_TECHNICIAN,9.0,1,False,2026-05-17
W041,Worker_041,SHIFT_3,22:00,06:00,LOGISTICS_COORDINATOR,ENGINE_TECHNICIAN,2.2,1,False,2026-04-19
W042,Worker_042,SHIFT_3,22:00,06:00,TRANSMISSION_TECHNICIAN,BODY_TECHNICIAN,4.6,1,False,2026-04-03
W043,Worker_043,SHIFT_3,22:00,06:00,CHASSIS_TECHNICIAN,TRANSMISSION_TECHNICIAN,6.3,1,True,2026-05-06
W044,Worker_044,SHIFT_3,22:00,06:00,CHASSIS_TECHNICIAN,LOGISTICS_COORDINATOR,2.9,0,True,2026-04-27
W045,Worker_045,SHIFT_3,22:00,06:00,TRANSMISSION_TECHNICIAN,BODY_TECHNICIAN,8.7,1,False,2026-02-24
W046,Worker_046,SHIFT_3,22:00,06:00,CHASSIS_TECHNICIAN,ENGINE_TECHNICIAN,4.1,1,True,2025-11-26
W047,Worker_047,SHIFT_3,22:00,06:00,BODY_TECHNICIAN,QUALITY_INSPECTOR,6.4,1,False,2026-03-26
W048,Worker_048,SHIFT_3,22:00,06:00,TRANSMISSION_TECHNICIAN,CHASSIS_TECHNICIAN,5.1,1,True,2025-08-21
W049,Worker_049,SHIFT_3,22:00,06:00,LOGISTICS_COORDINATOR,QUALITY_INSPECTOR,2.2,1,False,2026-05-15
